toxin_id,toxin_name,category,phase,cns,cvs,respiratory,gi,other,odour,route,sample
T09,Ethanol / Methanol,Volatile/Gas,Phase 2 — Acute Ethanol / Methanol latent (BAC >0.20% / 2–12 hrs methanol),"Ataxia (gross); Confusion; Stupor; Nystagmus; Dysarthria; For METHANOL: visual disturbances begin (blurring, altered colour vision)",Hypotension; Tachycardia; Vasodilation,"Respiratory depression (ethanol, high BAC); Aspiration risk",Vomiting (major risk for aspiration); Gastritis,Hypothermia; Hypoglycaemia; For methanol: no specific symptoms yet but formate accumulating,STRONG ALCOHOLIC odour (ethanol); Methanol: minimal odour — cannot be detected by smell reliably,Ingestion,Blood (BAC; methanol level); Urine (EtG if recent); Gastric lavage
T09,Ethanol / Methanol,Volatile/Gas,Phase 3 — Methanol toxic phase (12–48 hrs post-ingestion),VISUAL FAILURE (hallmark methanol): Blurred vision → Snowfield vision → BLINDNESS; Seizures (severe); Coma,Cardiovascular collapse (severe acidosis),"Kussmaul breathing (deep, rapid — severe metabolic acidosis); Respiratory failure",Nausea; Vomiting; Abdominal pain,SEVERE METABOLIC ACIDOSIS (high anion gap); Formate accumulation; Optic nerve oedema; Retinal toxicity; Blindness permanent if untreated,May have mild alcoholic odour; Methanol itself has faint odour — unreliable detection,Ingestion,Blood (methanol level; formate level; ABG — acidosis); Urine; Vitreous humour (post-mortem)
T10,Paraphenylenediamine,Dye/Industrial,Phase 1 — Early (0–4 hrs post-ingestion),None significant,Normal,Mild respiratory symptoms; Throat discomfort,Nausea; Vomiting; Oropharyngeal burning,Local oropharyngeal irritation; Mild cervical swelling begins,NO characteristic odour (hair dye may have chemical/ammonia smell if fresh — non-specific; OPTIONAL/unreliable),Ingestion (suicidal — hair dye emulsion; 80 mL bowlful typical); Dermal (topical allergy — less severe),Gastric lavage contents (CRITICAL — early); Blood (baseline renal); Urine (baseline)
T10,Paraphenylenediamine,Dye/Industrial,Phase 2 — Acute (4–24 hrs) — HALLMARK PHASE,None significant,Myocarditis developing; Cardiac conduction abnormalities; Fatal arrhythmia risk,UPPER AIRWAY OBSTRUCTION (laryngeal/cervical oedema); Stridor; Dyspnoea; Emergency tracheostomy may be required,Dysphagia; Drooling (oedema); Nausea persisting,CERVICOFACIAL OEDEMA (HALLMARK — massive swelling of neck/face); Rhabdomyolysis begins; Dark/BROWN URINE (myoglobinuria — hallmark); Elevated CK,NO characteristic odour,Ingestion,"Urine (BROWN — myoglobinuria; naked-eye diagnostic); Blood (CK, creatinine, cardiac enzymes); ECG"
T10,Paraphenylenediamine,Dye/Industrial,Phase 3 — Late (24–96 hrs) — Organ Failure,None specific CNS,Myocarditis established; Arrhythmia; Cardiac failure risk,Respiratory failure (if upper airway not secured); Pulmonary oedema,Hepatic necrosis; Liver failure signs,ACUTE RENAL FAILURE (myoglobin casts in renal tubules — ATN); Oliguria/Anuria; Elevated creatinine; Dialysis may be needed; Mortality 12–42%,NO characteristic odour,Ingestion,Blood (creatinine; BUN; CK; LFTs; PPD level by HPLC); Urine; Viscera (post-mortem: renal histopath)
T11,Paraquat,Pesticide,Phase 1 — Acute GI (0–24 hrs),None significant,Mild hypotension,Mild dyspnoea; not severe yet,SEVERE CORROSIVE GI BURNS (hallmark early); Oral/oesophageal burns; Bloodstained vomit; Dysphagia; Nausea; Diarrhoea,Oropharyngeal ulcers; Corrosive injury; Oral pain; Dysphagia,BLUE-GREEN liquid (commercial Gramoxone — visual sign at SCENE; not an odour); NO characteristic odour,Ingestion (suicidal — diluted Gramoxone; even small amounts fatal); Dermal (occupational; less common),Urine (dithionite test — bedside SPECIFIC; blue = positive); Blood plasma; Gastric lavage
T11,Paraquat,Pesticide,Phase 2 — Systemic (24–72 hrs),Confusion (hypoxia); Restlessness,Hypotension worsening; Cardiovascular compromise,PULMONARY FIBROSIS BEGINS (hallmark); Progressive dyspnoea; Increasing O2 requirement; NOTE: supplemental O2 worsens lung injury,Persistent dysphagia; Oropharyngeal ulcers progress,Acute renal failure; Hepatic dysfunction; Elevated liver enzymes; Raised creatinine,NO characteristic odour,Ingestion,Blood (paraquat level; Proudfoot nomogram for prognosis); Urine (dithionite); Renal function
T11,Paraquat,Pesticide,Phase 3 — Late Fibrosis (3–14 days) — Highly lethal,Confusion; Coma (hypoxia),Multi-organ failure; Cardiovascular collapse,PROGRESSIVE PULMONARY FIBROSIS FULLY ESTABLISHED; Respiratory failure; Ventilator-dependent; High FiO2 worsens; Death from hypoxic respiratory failure,Liver failure; Jaundice,Multiorgan failure; Acute renal failure; Hepatic failure; DIC; Death (high mortality even with treatment),NO characteristic odour,Ingestion,Lung tissue (post-mortem; fibrosis on histopath); Blood (paraquat); Viscera
T12,Carbolic Acid / Phenol,Corrosive,Phase 1 — Immediate (0–30 min),CNS STIMULATION: Excitement; Tremors; Headache; Seizures (early — high dose),Hypertension (early; CNS stimulation phase); Tachycardia,Mild respiratory irritation; Chest tightness,CORROSIVE BURNS: White coagulation of mucous membranes; Burning pain in mouth; Nausea; Vomiting; White/grey discolouration of gastric mucosa,Pallor of mucous membranes; Local coagulative necrosis; Skin burns (dermal),STRONG CARBOLIC / ANTISEPTIC ODOUR (unmistakable Dettol/ Lysol smell; OFTEN STRONGLY PRESENT; OPTIONAL parameter),Ingestion; Dermal absorption (significant percutaneous); Inhalation (vapour),Gastric lavage contents (CRITICAL — early); Blood; Urine (phenol metabolites early)
T12,Carbolic Acid / Phenol,Corrosive,Phase 2 — CNS Depression (30 min–4 hrs),CNS DEPRESSION (follows stimulation): Confusion; Drowsiness; Stupor; COMA; Hyporeflexia; Seizures → CNS depression transition,Hypotension (phase reversal from hypertension); Arrhythmia; Cardiac depression,Respiratory depression; Chemical pneumonitis (inhalation); Bronchospasm,Haematemesis; GI perforation (severe); Continued corrosive injury,Dark brown/black urine (phenol metabolites; parahydroquinone); Skin: grey-white coagulation necrosis; Dehydration,Carbolic odour persists in breath and gastric contents,Ingestion/Dermal/Inhalation,Urine (phenol metabolites; dark coloured — visual clue); Blood; Gastric lavage
T12,Carbolic Acid / Phenol,Corrosive,Phase 3 — Organ Failure (>4 hrs),Deep coma; Brain injury (hypoxia/ toxic),Cardiovascular collapse; Cardiac failure,Respiratory failure; Aspiration pneumonia,GI perforation risk; Hepatic necrosis,Acute renal failure; Methaemoglobinaemia (carbolic acid oxidises Hb); Cyanosis; Acidosis,Carbolic odour may persist in post-mortem tissues,Ingestion,Viscera (post-mortem); Urine (phenol); Blood (metHb level; GC-MS)
T13,Barbiturates,Alkaloid/Drug,Phase 1 — Mild Sedation (1–3 hrs post-ingestion),Drowsiness; Slurred speech; Ataxia; Nystagmus; Impaired judgment,Mild hypotension; Mild bradycardia,Mild respiratory rate reduction,Nausea; Vomiting (early),Hypothermia (mild); Reduced reflexes,NO characteristic odour (tablets are odourless),Ingestion (overdose; sedative abuse; often with alcohol),Blood (barbiturate level; serum); Gastric lavage; Urine (immunoassay)
T13,Barbiturates,Alkaloid/Drug,Phase 2 — Moderate–Severe (3–12 hrs),DEEP COMA; Absent reflexes; Fixed pupils (midbrain pressure); Loss of corneal reflex,Hypotension (significant); Bradycardia; CV depression,RESPIRATORY DEPRESSION (dose-dependent; Primary cause of death); Cheyne-Stokes breathing; Apnoea,Vomiting; Paralytic ileus; Aspiration risk,Hypothermia (profound; hallmark severe barb poisoning); Bullous skin lesions (barb blisters — classic sign); Flaccid paralysis,NO characteristic odour,Ingestion,Blood (serial barbiturate levels); Urine; Gastric lavage
T13,Barbiturates,Alkaloid/Drug,"Phase 3 — Severe/Fatal (>12 hrs, high dose)",Brain death; No response; Isoelectric EEG,Cardiovascular collapse; Cardiac arrest; Shock,Respiratory arrest; Apnoea; Aspiration pneumonia,,Profound hypothermia; Oliguria; Renal failure; Aspiration pneumonia; Barb blisters persist,NO characteristic odour,Ingestion,Post-mortem blood (femoral vein); Brain tissue; Liver; Vitreous humour; Gastric contents
T14,Organochlorine Pesticides,Pesticide,"Phase 1 — Early (0–4 hrs, acute ingestion)",Paraesthesia (tingling of tongue/lips — early); Headache; Dizziness; Restlessness; Hyperesthaesia,Hypertension (catecholamine sensitisation); Tachycardia,Mild dyspnoea; Chest tightness,Nausea; Vomiting; Abdominal pain; Diarrhoea,"Fatigue; Tremors (fine, begins early); Anorexia; Petroleum solvent odour from formulation",PETROLEUM / SOLVENT odour (from the formulation carrier — NOT the OCP itself; OPTIONAL/UNRELIABLE),Ingestion; Dermal absorption; Inhalation,Blood (OCP levels; serum — fat-soluble); Gastric lavage
T14,Organochlorine Pesticides,Pesticide,Phase 2 — Acute Toxic (4–12 hrs),GENERALISED SEIZURES (HALLMARK — key distinction from OP; no miosis!); Tremors (coarse); Myoclonic jerks; Hyperactivity; Confusion,Hypertension severe; Cardiac arrhythmia (catecholamine sensitisation; arrhythmia if adrenaline given — DANGEROUS); Ventricular fibrillation,Pulmonary oedema (severe cases),Vomiting persisting; Abdominal pain,Seizures WITHOUT miosis (KEY — differentiates from OP poisoning); Hyperthermia; Rhabdomyolysis; Lactic acidosis,Petroleum odour (if formulation present in gastric contents),Ingestion/Dermal,Blood (OCP serum levels); Urine; Gastric lavage; Fat biopsy (chronic)
T14,Organochlorine Pesticides,Pesticide,"Phase 3 — Chronic (months–years, repeated low-dose exposure)",Peripheral neuropathy; Cognitive impairment; Memory issues; Depression,No significant acute CVS,No significant resp,Anorexia; Nausea; Weight loss,Endocrine disruption (oestrogenic effects); Hepatic enzyme induction; Bioaccumulation in adipose tissue; Reproductive toxicity; Carcinogenicity (long-term),NO characteristic odour at chronic low levels,Dermal/Ingestion (chronic occupational or food contamination),Adipose tissue biopsy (GOLD for chronic OCP); Blood (serum lipids); Breast milk; Hair
T15,Zinc Phosphide,Rodenticide/Other,Phase 1 — Early (0–1 hr),Headache; Dizziness; Restlessness; Anxiety,Normal or mild hypotension,Cough; Dyspnoea (mild),NAUSEA; VOMITING (early and prominent); Abdominal pain; Epigastric burning,Garlic/phosphine odour strongly present; Diaphoresis,GARLIC / PHOSPHINE odour (similar to AlP; OFTEN PRESENT — practically diagnostic; OPTIONAL parameter),Ingestion (tablet/pellet — accidental or suicidal); Inhalation (phosphine gas released in stomach by gastric acid),Gastric lavage (CRITICAL); Blood (phosphine); Silver nitrate paper (bedside scene test)
T15,Zinc Phosphide,Rodenticide/Other,Phase 2 — Acute (1–6 hrs),Confusion; Agitation; Headache worsening; Seizures (hypoxia),Hypotension; Cardiac arrhythmia; ECG changes; Bradycardia,Pulmonary oedema; Dyspnoea severe; Cough; Respiratory distress,Profuse vomiting; Abdominal pain; Corrosive GI effects; Diarrhoea,Metabolic acidosis; Lactic acidosis; Liver dysfunction; Renal injury begins; Diaphoresis,Garlic/phosphine odour persisting in breath and gastric contents,Ingestion,Blood (phosphine; ABG — acidosis; ICP-MS for zinc); Gastric lavage; Liver enzymes; Renal function
T15,Zinc Phosphide,Rodenticide/Other,Phase 3 — Severe/Fatal (6–24 hrs),Coma; Unresponsive; Brain injury (hypoxia),Cardiovascular collapse; Refractory hypotension; Cardiac arrest,Respiratory failure; Apnoea; Cyanosis; Pulmonary oedema full,GI haemorrhage; Liver failure signs,Multiorgan failure; Acute hepatic failure; Renal failure; DIC; Hypothermia; Zinc toxicity to liver,Odour diminishing as phosphine depletes; still in gastric contents,Ingestion,Post-mortem: Gastric contents; Lung tissue; Liver; Kidney; Blood (zinc by AAS/ICP-MS)
T16,Datura,Plant/Botanical,Phase 1 — Early Anticholinergic (0–1 hr post-ingestion),Anxiety; Restlessness; Mild confusion; Disorientation begins; Euphoria (sometimes),TACHYCARDIA (hallmark; sinus tachycardia; heart rate 100–160/min); Hypertension,Normal or mild tachypnoea,Nausea; Vomiting; Dry mouth (xerostomia; hallmark early sign); Dysphagia,MYDRIASIS (dilated pupils; hallmark — opposite of OP); Flushed/hot dry skin; Fever begins; Urinary retention; Decreased bowel sounds,Sweet / musty odour from plant material (OPTIONAL — if seeds/ leaves present; NO odour from processed form),"Ingestion (seeds, leaves, tea, food adulteration — homicidal; accidental); Smoking (leaves); Dermal (eye exposure causes mydriasis)",Gastric lavage (URGENT); Blood (atropine/scopolamine); Urine
T16,Datura,Plant/Botanical,Phase 2 — Full Anticholinergic Syndrome (1–6 hrs) [Classic 'Mad as a Hen' phase],"DELIRIUM (hallmark — patient appears psychotic); Visual HALLUCINATIONS (vivid, often colourful); Agitation; Combative behaviour; Amnesia (scopolamine); Confusion; Dysarthria; Bizarre behaviour; Seizures (severe cases)",Tachycardia (sustained; >120–160 bpm); Hypertension; Arrhythmia (severe cases),Tachypnoea; Decreased bronchosecretions (dry airways — opposite of OP bronchospasm),Dry mouth severe; Abdominal distension; Ileus; Constipation; Decreased bowel sounds,ANTICHOLINERGIC TOXIDROME: 'Blind as a bat' (mydriasis) 'Hot as a hare' (hyperthermia) 'Dry as a bone' (anhidrosis) 'Red as a beet' (flushing) 'Mad as a hen' (delirium); Urinary retention; Hyperthermia (>39°C),Plant/seed odour if present in vomit/ gastric contents (OPTIONAL),"Ingestion (seeds, leaves, homicidal food adulteration; tea infusion)",Blood (atropine; scopolamine; hyoscyamine by LC-MS/MS); Gastric lavage; Urine
T16,Datura,Plant/Botanical,"Phase 3 — Severe/Coma (>6 hrs, high dose)",Coma; Seizures; Respiratory depression (high dose); Brain injury (hypoxia),Cardiovascular collapse (high dose); Arrhythmia; Cardiac arrest,Respiratory failure (extreme doses); Aspiration risk (delirium + vomiting),Paralytic ileus,Hyperthermia severe; Rhabdomyolysis; Multiorgan failure; Death (rare but reported with seed ingestion),No significant odour at this stage,Ingestion,Post-mortem: Vitreous humour (atropine/scopolamine detected; ScienceDirect 2016 case); Blood; Gastric contents; Liver; Urine
